2016041300000001||洗发水||50||100
2016041300000002||裤子||50||200
2016041300000003||python cookbook||35||10
2016041300000004||python从入门到CEO||1.9||300
2016041300000005||python从入门到赢取白富美||98||400
2016041300000006||python从入门到拯救世界||45||3
2016041300000007||python从入门到放弃||19||1
2016041300000008||python从入门到php大神||1000||1
2016041300000009||自行车||23||10
2016041300000010||飞机||98.9||1134
2016041300000011||宇宙飞船||20.5||1111
2016041300000012||椅子||2099||12
2016041300000013||8G台式机内存||49||13
2016041300000014||23英寸显示器||99||14
2016041300000015||thinkpad x250||50.6||99
2016041300000016||精通wireshark||50.5||65
